empl_id,id,name
623986,8.484,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)"
623986,7.540,Разработка программного обеспечения
6189,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
107868,27.566,Масложировая продукция (производство)
107868,27.574,Пищевые концентраты (производство)
107868,27.556,Детское питание (производство)
8620,11.453,"Производство мультимедиа, контента, редакторская деятельность"
8620,11.459,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
8620,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
81892,48.676,"Аптека, оптика"
81892,48.684,Фармацевтическая продукция (производство)
81892,48.683,"Фармацевтическая продукция (продвижение, оптовая торговля)"
563765,11.452,Издательская деятельность
563765,11.458,Распространение мультимедиа и печатной продукции
563765,11.456,Теле- и радиовещание
563765,11.460,"Производство печатной, полиграфической продукции"
563765,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
1885395,7.540,Разработка программного обеспечения
2185027,15.542,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)"
2185027,7.540,Разработка программного обеспечения
2185027,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
7837,15.542,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)"
7837,15.543,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)"
581458,27.550,Безалкогольные напитки (производство)
581458,27.580,Снеки (производство)
581458,27.551,"Безалкогольные напитки (продвижение, оптовая торговля)"
581458,27.557,"Детское питание (продвижение, оптовая торговля)"
581458,27.556,Детское питание (производство)
1574063,7.540,Разработка программного обеспечения
1574063,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
399,5.468,"ВЭД, таможенное оформление"
399,5.467,"Курьерская, почтовая доставка"
399,5.465,"Транспортно-логистические комплексы, порты (воздушный, водный, железнодорожный)"
2730772,48.681,Лечебно-профилактические учреждения
2730772,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2730772,7.540,Разработка программного обеспечения
84585,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
3101894,13.663,"Архитектура, проектирование"
3101894,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
